매물종류,거래방식,가격,위치,거리,소재지,매물특징,계약/전용면적,해당층/총층,융자금,월관리비,방향,입주가능일,주차가능여부,총사무실수,총주차대수,난방(방식/연료),사용승인일,건축물 용도,매물번호,매물설명,중개사,중개보수,상한요율
중소형사무실 블루빌딩,월세,"2억/1,750","(-9336.59, -2529.09)",304.04912668922145,서울시 강남구 신사동,압구정역 도보5분 단독사옥 화물용리프트,465.81㎡/396.69㎡(전용률85%),5/5층,없음,0원,서향(주된 출입구 기준),즉시입주,가능,-,5대,개별냉난방/-,2011.07.26,제2종 근린생활시설,2330965932,"■ 매물 설명&&- 압구정역 도보5분 역세권&- 지하1층~지상5층 단독사옥&(지하 36.7평, 1층 19평, 2층 29.7평, 3층 29.7평, 4층 17.1평, 5층 10.7평, 6층 8평)&- 관리비 실비 정산&- 옥상정원&- 지하층 층고4m (1톤 화물용 리프트)&- 엘리베이터&- 자주식 주차 무료 5대&- 층별 남녀분리 화장실&- 개별냉난방 설치&&&&■ 매물 담당자&&공인중개사 권다인 과장 010-6797-7198&강남구 역삼동 828번지 1층 (주)강남부동산중개&&저희 강남부동산은 상가, 사무실 및 기업 이전 전문 중개업체 입니다.&100% 직접 촬영한 실사진과 실매물로 허위 매물을 중개하지 않습니다.&단, 계약 여부는 실시간으로 반영되지 않으므로 매물번호와 함께 문의 주시면 확인해 드리겠습니다. 감사합니다.","주식회사 강남부동산중개길찾기
대표유범석등록번호
소재지
서울특별시 강남구 역삼동 828 번지 1층101호
전화010-6797-7198
최근 3개월 집주인확인 214건
매매10전세2월세933단기0","최대 1,755만원(VAT 별도)",0.9%
중소형사무실 블루빌딩,월세,"5,000/360","(-9362.45, -2563.86)",352.36941211283323,서울시 강남구 신사동,"압구정역 인근 우수한 인테리어 상가,사무실",134.02㎡/115.7㎡(전용률86%),1/6층,없음,60만원,남향(주된 출입구 기준),2023년 8월 15일 협의가능,가능,정보 없음,6대,-/-,2004.06.05,제2종 근린생활시설,2330954071,"※※※※※※※※※※※※임대내용※※※※※※※※※※※※&★임대료 : 보증금 5,000만원 / 월세 360만원 &★관리비 : 60만원 &★권리금 : 무권리 &★전용 : 약 35평 &★주차 : 무료 2대 &★입주 : 23.8.15 협의&&★매물특징★&압구정역 인근 도보5분거리 &언주로 이면 1층 상가 &룸3 + 홀구조 , 인테리어 우수&&&& ΞΞΞΞΞΞΞ매물상담자ΞΞΞΞΞΞΞ&& 【문의전화 : 02-515-1369】& 【카카오톡 : mo98】&& ΞΞΞΞΞΞΞ경원부동산ΞΞΞΞΞΞΞ&&◇ 청담동에 위치한 경원공인중개사사무소입니다&◇ 강남지역 주택 상가 사무실 매물 다량 확보하고 있습니다&◇ 원하시는 위치, 가격 등 조건에 적합하도록 꼼꼼하게& 찾아드리고 있습니다&◇ 직접 찾아가서 확인한 100% 실매물만 광고하고 있습니다&◇ 빌딩매매, 매입 매각 컨설팅, 자문 변호사, 세무사를 바탕으로& 문제없는 책임중개와, 매입 후의 건물관리 컨설팅까지 중소형 & 빌딩 자산관리를 전문으로 하는 기업입니다&◇ 언제든 문의주시면 최선을 다해서 안내해드리도록 하겠습니다&& 경원공인중개사 사무소& 서울특별시 강남구 도산대로 446","유한회사 경원부동산중개법인
대표박규리등록번호
소재지
서울특별시 강남구 청담동 5 경원오피스텔 2층2호
전화02-547-2227,02-515-1369",최대 369만원(VAT 별도),0.9%
일반상가,월세,1억/420,"(-9436.67, -2567.49)",357.04767043046445,서울시 강남구 신사동,압구정역 초역세권 가시성 노출도 최고인 코너 1층 상가입니다.,82.49㎡/72.6㎡(전용률88%),1/5층,없음,20만원,북서향(주된 출입구 기준),즉시입주 협의가능,가능,정보 없음,4대,개별난방/-,2021.06.21,제1종 근린생활시설,2330760299,🧑‍⚖️ 강남 No.1 상가/사무실 전문가 코지공인중개사사무소&&&1. 담당자가 직접 다녀온 매물만 광고합니다.&&2. 전화 주시면 궁금하신 사항 자세하게 설명 드립니다.&&3. 쉽고 빠르게 브리핑 받아보세요.&&4. 매물은 제가 찾아드릴테니 편하게 맡겨주세요.&&☎[담당자 직통번호 : 010 - 2401 - 0014]☎&&━━━━━━━━━━━━━━━━━━━━━━━━━━&&❃ 코지 공인중개사사무소 ❃&담당자 직통 : 010 - 2401 - 0014 &사무실 직통 : 02 - 562 - 3338 &&➊ 창업플랫폼 마이프차 대치동 담당 파트너 부동산&➋ 강남 전 지역 상가 매물 최다 보유 부동산&➌ 서울 주요 핫플레이스 상가 매물 보유&➍ 코지 전용 사이트 : https://cozyrealty.co.kr,"코지 공인중개사사무소톡톡문의길찾기
대표전병의등록번호
소재지
서울특별시 강남구 테헤란로 313 성지하이츠1차1108호
전화02-562-3338,010-3755-0099
최근 3개월 집주인확인 80건
매매1전세0월세612단기0",최대 468만원(VAT 별도),0.9%
일반상가,월세,"5,000/360","(-9362.45, -2563.86)",352.36941211283323,서울시 강남구 신사동,S급 인테리어 주차편리 압구정역 역세권 1층 사무실,134.02㎡/115.7㎡(전용률86%),1/6층,없음,60만원,남향(주된 출입구 기준),즉시입주,가능,-,6대,개별난방/-,2004.06.05,제2종 근린생활시설,2330566400,"사무실.상가 전문 &빌드업 부동산중개법인&&매물번호 알려주시면 빠른 상담 가능합니다.&━━━━━━━━━━━━━━━━━━━━━━&✔ 임대조건&&- 보 증 금 : 5,000만원&- 임 대 료 : 360만원&- 관 리 비 : 60만원&&✔ 매물정보&&- 위 치 : 압구정역 역세권&- 면 적 : 전용 35평&- 층 수 : 1F / 6F&- 구 조 : 룸 3개 + 홀&- 주 차 : 자주식 주차&- 입 주 : 협의가능&&━━━━━━━━━━━━━━━━━━━━━━&🏙강남,서초 전문 &🕵‍♂직접 확인한 매물들만 광고합니다.&🤝궁금하신점 있으시면 편하게 연락주세요.&&☎02-514-8943","(주)빌드업부동산중개법인길찾기
대표최기범등록번호
소재지
서울특별시 강남구 삼성로103길 13 (삼성동)
전화02-514-8943,010-2756-8943
최근 3개월 집주인확인 110건
매매10전세2월세1415단기1",최대 369만원(VAT 별도),0.9%
중소형사무실,월세,"5,000/360","(-9362.45, -2563.86)",352.36941211283323,서울시 강남구 신사동,압구정역 이면도로 1층 홍보업종추천,168㎡/134㎡(전용률80%),1/6층,없음,0원,남향(주된 출입구 기준),2023년 8월 14일 협의가능,가능,-,6대,개별난방/-,2004.06.05,제2종 근린생활시설,2330360254,"▶압구정역 이면도로 1층 시설비등 없고,&▶에어컨 인수 가능, 주차2대 가능, 온오프라인매장등 추천&▶음식점은 불가이나 카페는 가능합니다.&▶압구정역세권 물건 문의주세요 010-6230-9938","압구정열린공인중개사사무소길찾기
대표김경희등록번호
소재지
서울 강남구 신사동610-2 1층
전화02-544-1155,010-6230-9938
매매7전세1월세18단기0",최대 369만원(VAT 별도),0.9%
중소형사무실,월세,"2억/1,700","(-9336.59, -2529.09)",304.04912668922145,서울시 강남구 신사동,실120.사진有 통임대. 역세권. 회사사옥으로 적합합니다.,465.81㎡/396.7㎡(전용률85%),1/5층,없음,0원,서향(주된 출입구 기준),즉시입주 협의가능,가능,-,5대,개별난방/도시가스,2011.07.11,제2종 근린생활시설,2330348668,"◈스마트한 중개 토우중개법인 입니다.◈&&-매물정보-&&* 3호선 압구정역 도보이용 가능한 꼬마빌딩 통임대 물건입니다.& 회사사옥으로 추천드리며, 임차시 빌딩이름 변경 가능 합니다.& &* 보증금 : 2억 / 월세 1700만 / 관리비 : 자체관리&&* 총합 120평& 지하 36.7평 복층설치 1톤 화물용 리프트(주차장에서 선적가능, 지하 제조시설)& 1층 19평& 2층 29.7평 & 3층 29.7평 & 4층 17.1평& 5층 10.7평& 6층 8평 옥상정원&&* 엘베 有 / 주차 : 5대까지 주차 가능합니다.&&* 이 외 궁금하신 내용은 전화 상담문의 부탁드립니다.&&▷위치 : 강남구 청담동 84-7, 공신진흥빌딩 1층 토우부동산중개법인 & (압구정로데오역 4번 출구에서 도보 1분 거리)&▷Tel. 02-3443-8002 , 010-9303-0763","주식회사 토우부동산중개법인
대표박상율등록번호
소재지
서울특별시 강남구 청담동 84-7 번지 1층
전화010-9303-0763","최대 1,710만원(VAT 별도)",0.9%
대형사무실,월세,"2억 5,000/1,750","(-9336.59, -2529.09)",304.04912668922145,서울시 강남구 신사동,도산공원 무궁화공원 인근 무권리 단독 통임대 사옥,465.81㎡/465.81㎡(전용률100%),1/5층,없음,0원,서향(주된 출입구 기준),즉시입주,가능,-,4대,개별난방/-,2011.07.26,제2종 근린생활시설,2330464828,"──────────▣세부임대내역▣─────── &■ 임대료: 보증금 25억 / 월세 1,750만&■ 해당층 : 지하1층~지상5층 &■ 주차 : 무료 4대&■ 권리무&────────── ▣상세정보▣─────────&■ 도산공원 무궁화공원 인근 접근성 좋은 단독 사옥&■ 건물 내/외관 컨디션 준수하며 모던한 외관 인테리어가 돋보임&■ 건물내에 휴식공간 테라스/화장실/E.V 1대 완비&■ 무료주차 4대(자주식)&■ 다양한 업종 문의가능&&■ 금액 조절 , 렌트프리 협의.&■ 상단 매물번호 를 말씀해 주시면 더욱 신속한 상담가능.&&───────────NOBLE───────────&▶주식회사 강남노블부동산중개법인&▶ 강남구 도산대로89길 35, 1층&▶ Tel: 02-554-5411&─────────────────────────&▶ 궁금하신 점 문의 주시면 진정성 있는 컨설팅으로 & 도와 드리겠습니다!!!&▶ 시간낭비하시지 않도록 최선의 물건으로 중개해드리겠습 & 니다!!!&▶ 100% 실매물 실사진(허위광고 NO)&▶ 강남 서초 일대 상가 사무실 매물 다수 확보!!!!&─────────────────────────&※임대인을 통한 정확한 매물정보와 직접 촬영한 최신 & 실사진으로 정확하고 신뢰감있는 중개를 약속합니다.","주식회사 강남노블부동산중개법인길찾기
대표서시은등록번호
소재지
서울특별시 강남구 도산대로89길 35 청담범신칼릭스빌2차 (청담동, 청담범신칼릭스빌2차)
전화02-554-5411,010-8933-5333
최근 3개월 집주인확인 15건
매매1전세1월세252단기0","최대 1,800만원(VAT 별도)",0.9%
대형사무실,월세,1억/420,"(-9436.67, -2567.49)",357.04767043046445,서울시 강남구 신사동,도너츠 베이커리 bar 전시매장 레스토랑 무권리매장,82.51㎡/82.39㎡(전용률100%),1/5층,없음,0원,북서향(주된 출입구 기준),즉시입주,가능,정보 없음,4대,개별난방/전기,2021.06.21,제2종 근린생활시설,2330526539,"무권리 상가매장&&스시 레스토랑 카페 요식 메뉴&&규모급으로 고 퀄리티 매장에 어울립니다.&&주변 교회, 주민 학원등 다양한 연령대 유동인구&&고정 유동인구들이 많이 있습니다. &&매장 컨셉만 잡으시면 좋습니다.","가인공인중개사사무소톡톡문의길찾기
대표박외숙등록번호
소재지
서울특별시 강남구 신사동 562-17
전화02-545-8289,010-2735-5114
최근 3개월 집주인확인 10건
매매2전세0월세46단기0",최대 468만원(VAT 별도),0.9%
일반상가,월세,"2억 2,000/1,750","(-9336.59, -2529.09)",304.04912668922145,서울시 강남구 신사동,압구정역 초역세권 세련된 건물 내외관 컨디션 좋은 통임대,465.81㎡/465.81㎡(전용률100%),B1/5층,없음,0원,서향(주된 출입구 기준),즉시입주 협의가능,가능,정보 없음,3대,-/-,2011.07.26,제2종 근린생활시설,2330424625,"**********************************************&&담당자 직통 ☎ 02) 540 - 1144 ☎&&**********************************************&&◈ 매 물 정 보 ◈&&◈ 월세 2억 5000 / 1900 만 / 관리비(자체관리)&&◈ 지하1층 ~ 지상5층&&◈ 압구정역 (도보5분)&&◈ 인테리어 S급 사옥 임대&&◈ 개방감 / 채광 우수&&◈ 남녀분리화장실&&◈ 무료주차3대&&&**********************************************&&♣ 직접 발로 뛰어 찍은 100% 실제 매물, 실제 사진 ♣&&♣ 자세한 매물정보는 유선통화 시 더 빠르고 정확한 상담 가능합니다. ♣&&♣ 예산금액과 조건에 맞는 최상의 물건을 보여드리겠습니다. ♣&&♣ 건물주가 원치 않아 광고되지 못한 물건들도 많습니다. 전화 주시면 자세히 설명 드리겠습니다. ♣&&안녕하세요. 청담 리츠 공인 중개사사무소입니다.&&저희가 실제로 촬영한 사진이며 바로 거래가 가능한 물건만 광고하고 있습니다.&&청담동 신사동 전문이며 독보적인 물건 보유량과 실력을 겸비해 중개업을 하고 있습니다.&&청담동에서 물건을 찾으시면 저희 리츠가 최고라고 감히 말씀드립니다.&&감사합니다.&&**********************************************&&담당자 직통 ☎ 02) 540 - 1144 ☎&&**********************************************","청담리츠공인중개사사무소길찾기
대표김종찬등록번호
소재지
서울특별시 강남구 압구정로79길 6 1층(청담동, 청담대현빌딩)
전화02-540-1144
최근 3개월 집주인확인 46건
매매230전세26월세439단기0","최대 1,773만원(VAT 별도)",0.9%
일반상가,월세,"5,000/360","(-9362.45, -2563.86)",352.36941211283323,서울시 강남구 신사동,압구정역세권 1층 온오프라인 매장추천,168㎡/134㎡(전용률80%),1/6층,없음,60만원,남향(주된 출입구 기준),2023년 8월 14일 협의가능,가능,정보 없음,6대,개별난방/-,2004.06.05,제2종 근린생활시설,2330361090,"▶압구정역 이면도로 1층 시설비등 없고,&▶에어컨 인수 가능, 주차2대 가능&▶음식점은 불가이나 카페는 가능합니다.&▶압구정역세권 물건 문의주세요 010-6230-9938","압구정열린공인중개사사무소길찾기
대표김경희등록번호
소재지
서울 강남구 신사동610-2 1층
전화02-544-1155,010-6230-9938
매매7전세1월세18단기0",최대 369만원(VAT 별도),0.9%
